team_id,home_team_name,home_team_abbv,away_team_id,away_team_name,away_team_abbv,match_id,match_play_time,match_created_at,home_team_games_won,away_team_games_won,winner_team_id,loser_team_id,match_map_id,match_map,map_mode,host_Score,guest_score,winning_team_id,losing_team_id,player_id,first_name,last_name,alias,game_map,game_mode,stats_player_id,average_speed,highest_streak,untraded_deaths,traded_deaths,tacticals_used,lethals_used,dead_silence_time,total_kills,total_deaths,total_assists,total_score,untraded_kills,traded_kills,damage_dealt,friendly_damage,distance_traveled,control_tiers_captured,bombs_planted,bombs_defused,sneak_defuses,hp_hill_time,hp_hill_time_contested,aces,first_blood_kills,rotation_kills,kill_death_ratio
,,,,,,,,,,,,,,,,,,,,517,Thomas,Ernst,Scrap,Breenbergh Hotel,CDL SnD,120,113.2804337,2,4,1,7,7,31,4,8,2,650,3,0,731,3,55647.58984,,3,0,0,,,0,0,0,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL SnD,262,87.4671402,5,5,1,6,4,58,7,6,1,725,6,0,701,0,43723.19141,,0,1,0,,,1,0,0,1.17
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL Control,39,224.3136444,2,14,4,19,15,178,9,18,4,1275,7,2,1402,39,62130.76172,4,,,,,,0,1,0,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL Control,50,241.6740875,5,19,1,8,7,0,14,19,5,1925,11,3,2035,0,70430.35938,4,,,,,,0,0,0,0.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL Control,120,174.5653076,5,7,3,11,11,0,14,10,5,1775,12,2,1845,0,53185.14453,3,,,,,,0,0,0,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL Control,262,215.9999695,3,13,2,6,5,195,13,15,3,1575,9,4,1518,0,65001.13281,1,,,,,,0,0,0,0.87
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,39,176.4165955,4,13,5,16,16,86,20,18,5,3040,14,6,2412,1,51451.88672,,,,,44,10,0,0,2,1.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,50,190.4511261,6,17,3,8,5,0,17,20,4,3925,15,2,2003,3,60966.73438,,,,,110,3,0,1,3,0.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,120,180.1365814,2,12,7,14,13,0,12,20,11,2565,9,3,1992,110,51039.71484,,,,,29,12,0,0,3,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,262,185.2663879,4,17,5,4,3,79,18,22,5,2590,14,4,1884,0,53702.02344,,,,,34,7,0,0,1,0.82
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,65,201.2091217,2,17,7,10,15,76,21,24,6,3130,10,11,2579,77,58253.35156,,,,,13,5,0,0,6,0.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,264,155.7404327,4,13,5,13,12,0,20,18,4,2730,14,6,2147,13,47380.69922,,,,,33,5,0,0,2,1.11
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,363,171.411087,4,15,8,11,12,0,13,23,6,2345,11,2,1737,4,47366.22656,,,,,47,7,0,0,2,0.57
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,517,160.7452087,5,14,8,12,8,14,22,22,13,4735,15,7,2893,63,46439.90234,,,,,86,9,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL SnD,65,96.41109467,3,7,0,6,6,88,9,7,1,875,6,2,1407,0,51998.02344,,0,0,0,,,0,4,0,1.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL SnD,264,87.48880005,3,4,0,6,4,45,8,6,3,1050,5,2,1156,0,47055.75391,,1,1,0,,,0,2,0,1.33
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL SnD,363,105.2058792,4,2,1,6,3,95,7,4,2,875,3,1,842,0,57016.28125,,2,0,0,,,0,0,0,1.75
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL SnD,517,89.72592926,2,5,0,4,3,53,4,5,0,400,4,0,770,0,49643.34375,,0,0,0,,,0,1,0,0.8
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL Control,65,222.7483368,4,12,3,8,12,87,17,15,4,2050,14,3,2455,1,66189.74219,4,,,,,,0,1,0,1.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL Control,264,173.5780182,5,11,1,8,9,0,16,12,2,2075,14,2,2031,0,56074.26172,8,,,,,,0,0,0,1.33
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL Control,363,197.2707977,4,8,4,5,4,96,16,12,1,1800,14,3,1832,66,60285.15234,6,,,,,,0,3,0,1.33
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL Control,517,164.9496155,4,8,3,5,4,8,13,11,3,1550,11,2,1989,0,50102.02734,7,,,,,,0,0,0,1.18
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,65,182.061615,4,16,3,11,11,56,17,19,3,3485,13,4,2237,2,58415.32031,,,,,87,6,0,0,5,0.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,264,149.5222626,6,9,3,10,11,0,23,12,5,4100,19,4,2726,56,47594.01172,,,,,111,12,0,0,3,1.92
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,363,161.642807,5,14,3,10,9,0,18,17,8,3585,11,7,2561,81,51645.73047,,,,,66,8,0,0,4,1.06
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,517,163.3949432,4,13,6,3,4,41,21,19,4,3400,16,5,2566,79,48221.24609,,,,,60,11,0,0,5,1.11
team_id,home_team_name,home_team_abbv,away_team_id,away_team_name,away_team_abbv,match_id,match_play_time,match_created_at,home_team_games_won,away_team_games_won,winner_team_id,loser_team_id,match_map_id,match_map,map_mode,host_Score,guest_score,winning_team_id,losing_team_id,player_id,first_name,last_name,alias,game_map,game_mode,stats_player_id,average_speed,highest_streak,untraded_deaths,traded_deaths,tacticals_used,lethals_used,dead_silence_time,total_kills,total_deaths,total_assists,total_score,untraded_kills,traded_kills,damage_dealt,friendly_damage,distance_traveled,control_tiers_captured,bombs_planted,bombs_defused,sneak_defuses,hp_hill_time,hp_hill_time_contested,aces,first_blood_kills,rotation_kills,kill_death_ratio
11,Los Angeles Guerrillas,LAG,13,New York Subliners,NY,8645,1670626800,1664399845,0,3,13,11,19582,Mercado Las Almas,CDL Hardpoint,133,250,13,11,51,Cuyler,Garland,Huke,Mercado Las Almas,CDL Hardpoint,51,197.8598785,3,16,5,7,7,79,14,20,4,2515,10,4,1729,70,59714.90234,,,,,64,6,0,0,1,0.7
,,,,,,,,,,,,,19583,Embassy,CDL SnD,5,6,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,19584,Al Bagra Fortress,CDL Control,0,3,13,11,112,Alec,Sanderson,Arcitys,Mercado Las Almas,CDL Hardpoint,112,161.9406738,5,13,5,13,9,0,14,17,10,2440,11,3,2569,72,44877.1875,,,,,9,0,0,0,2,0.82
,,,,,,,,,,,,,19585,Zarqwa Hydroelectric,CDL Hardpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,19586,Breenbergh Hotel,CDL SnD,,,,,222,Kristopher,Cervantez,Spart,Mercado Las Almas,CDL Hardpoint,222,199.8786163,2,16,2,13,11,27,14,18,3,2260,11,3,1937,31,54948.61719,,,,,36,3,0,0,2,0.78
,,,,,,,,,,,,,,,,,,,,266,Travis,McCloud,Neptune,Mercado Las Almas,CDL Hardpoint,266,205.7462311,4,21,4,13,10,0,21,25,1,3325,12,9,2128,33,60159.63672,,,,,35,6,0,0,4,0.84
,,,,,,,,,,,,,,,,,,,,39,Preston,Greiner,Priestahh,Embassy,CDL SnD,51,101.2060699,3,6,0,6,5,75,7,8,0,600,5,0,911,0,52815.21094,,1,0,0,,,0,0,0,0.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,50,Matthew,Tinsley,KiSMET,Embassy,CDL SnD,112,76.94515228,2,9,0,10,9,38,4,9,0,600,3,0,595,0,36367.10547,,0,1,0,,,0,2,0,0.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,120,Cesar,Bueno,Skyz,Embassy,CDL SnD,222,115.4986038,2,4,1,9,10,18,5,8,1,550,3,2,717,0,58018.01563,,0,0,0,,,0,0,0,0.63
,,,,,,,,,,,,,,,,,,,,,,,,Embassy,CDL SnD,266,84.33403015,3,8,0,7,5,0,7,9,0,600,4,2,768,0,43992.75781,,0,0,0,,,0,0,0,0.78
,,,,,,,,,,,,,,,,,,,,262,Paco,Rusiewiez,Hydra,Al Bagra Fortress,CDL Control,51,180.1821136,4,17,2,5,9,56,11,19,1,1325,9,2,1214,0,46390.21094,2,,,,,,0,0,0,0.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
